gender,seniorcitizen,partner,dependents,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,tenure,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,churn
0,0,1,0,0,1,0,0,2,0,0,0,0,1,0,1,2,29.85,-0.9941940877241975,0
1,0,0,0,1,0,0,2,0,2,0,0,0,34,1,0,3,56.95,-0.17373981825040702,0
1,0,0,0,1,0,0,2,2,0,0,0,0,2,0,1,3,53.85,-0.9596491092068432,1
1,0,0,0,0,1,0,2,0,2,2,0,0,45,1,0,0,42.3,-0.19524770717404713,0
0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,2,70.7,-0.9404574544749797,1
0,0,0,0,1,2,1,0,0,2,0,2,2,8,0,1,2,99.65,-0.6453692184426378,1
1,0,0,1,1,2,1,0,2,0,0,2,0,22,0,1,1,89.1,-0.14731268909089845,0
0,0,0,0,0,1,0,2,0,0,0,0,0,10,0,0,3,29.75,-0.8741690378436583,0
0,0,1,0,1,2,1,0,0,2,2,2,2,28,0,1,2,104.8,0.3365155445113559,1
1,0,0,1,1,0,0,2,2,0,0,0,0,62,1,0,0,56.15,0.5314762853391825,0
1,0,1,1,1,0,0,2,0,0,0,0,0,13,0,1,3,49.95,-0.7481879571842649,0
1,0,0,0,1,0,2,1,1,1,1,1,1,16,2,0,1,18.95,-0.8631834699626606,0
1,0,1,0,1,2,1,0,0,2,0,2,2,58,1,0,1,100.35,1.4990665744239264,0
1,0,0,0,1,2,1,0,2,2,0,2,2,49,0,1,0,103.7,1.2145888969272467,1
1,0,0,0,1,0,1,2,0,2,2,2,2,25,0,1,2,105.5,0.17768805707524452,0
0,0,1,1,1,2,1,2,2,2,2,2,2,69,2,0,1,113.25,2.475877681529266,0
0,0,0,0,1,0,2,1,1,1,1,1,1,52,1,0,3,20.65,-0.5560508161330802,0
1,0,0,1,1,2,1,2,0,2,0,2,2,71,2,0,0,106.7,2.2495926306793175,0
0,0,1,1,1,0,0,0,0,2,2,0,0,10,0,0,1,55.2,-0.7742621363716933,1
0,0,0,0,1,0,1,0,2,2,0,0,2,21,0,1,2,90.05,-0.18547540482207522,0
1,1,0,0,0,1,0,0,0,2,0,0,2,1,0,1,2,39.65,-0.9898704505662144,1
1,0,1,0,1,0,2,1,1,1,1,1,1,12,1,0,0,19.8,-0.9181333687409041,0
1,0,0,0,1,0,2,1,1,1,1,1,1,1,0,0,3,20.15,-0.9984736061356704,1
0,0,1,0,1,2,0,0,2,0,2,0,0,58,2,1,1,59.9,0.5390426503656528,0
1,0,1,1,1,0,0,2,2,0,2,0,0,49,0,0,1,59.6,0.30309559403000746,0
0,0,0,0,1,0,0,2,2,0,0,0,0,30,0,1,0,55.3,-0.33208199947490813,0
1,0,1,1,1,2,1,0,2,0,0,2,2,47,0,1,2,99.35,1.0879019163236927,1
1,0,1,1,0,1,0,0,2,0,0,0,0,1,0,0,2,30.2,-0.9940396721114124,1
1,0,1,0,1,2,0,2,2,2,2,2,2,72,2,1,1,90.25,1.802757966025724,0
0,0,0,1,1,0,0,0,0,0,0,2,2,17,0,1,3,64.7,-0.5251015154562935,1
0,1,1,0,1,2,1,2,2,2,2,0,0,71,2,1,1,96.35,1.9781299834030972,0
1,1,1,0,1,0,1,0,0,2,0,2,2,2,0,1,1,95.5,-0.9272218305219705,0
0,0,1,1,1,0,0,2,2,2,2,0,0,27,1,0,3,66.15,-0.18037968960016668,0
1,0,0,0,1,0,2,1,1,1,1,1,1,1,0,0,0,20.2,-0.9984515467624155,0
1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,45.25,-0.9873998007616527,0
0,0,1,1,1,2,1,2,2,0,2,2,0,72,2,0,0,99.9,2.191995607110472,0
1,0,0,0,1,0,1,0,0,0,0,0,0,5,0,1,2,69.7,-0.8675512258671536,1
0,0,0,0,1,0,1,0,0,2,0,0,0,46,0,1,1,74.8,0.5581019488579864,0
1,0,0,0,1,2,1,0,2,2,0,2,2,34,0,1,2,106.35,0.5585210769498316,1
0,0,0,0,1,2,1,0,0,2,0,2,2,11,0,1,0,97.85,-0.5196749096355596,1
1,0,1,1,1,0,0,0,2,0,0,0,0,10,1,0,3,49.55,-0.7974906564092245,0
0,0,1,1,1,2,0,2,2,0,0,2,0,70,2,1,1,69.2,1.1422562120240511,0
0,0,1,1,1,0,2,1,1,1,1,1,1,17,1,0,3,20.75,-0.8228368762792373,0
0,0,0,0,1,2,0,2,2,2,2,2,0,63,2,1,1,79.85,1.1374472686544574,0
0,0,1,0,1,2,0,2,2,0,2,2,0,13,0,1,2,76.2,-0.574360095934743,0
0,0,0,0,1,2,1,0,0,0,0,0,2,49,0,1,2,84.5,0.7162235363499371,0
1,0,0,0,1,0,0,0,2,0,0,0,0,2,0,0,3,49.25,-0.9645683494427116,0
